Feature	Gain	Cover	Frequency
ctrx_quarter	0.148907564791855	0.0230221133596624	0.0236042692939245
mtarjeta_visa_consumo	0.0582827086295188	0.0144104382200506	0.0181650246305419
mpayroll	0.0554419456723631	0.0259035924033171	0.00954433497536946
cpayroll_trx	0.0412001850802389	0.0187597578985797	0.00605500821018062
mpasivos_margen	0.0387140756256156	0.0162181901089604	0.0229885057471264
mcuentas_saldo	0.0348744130800193	0.0279678862475816	0.0303776683087028
mcaja_ahorro	0.0342445583712047	0.0173334204268286	0.0293513957307061
cliente_edad	0.0244282246800326	0.0276333897467079	0.0369458128078818
mrentabilidad_annual	0.0221132281157378	0.0184242321471051	0.0213464696223317
mcuenta_corriente	0.0217709953426707	0.0134947184353466	0.0211412151067323
mactivos_margen	0.020845925815126	0.0288552494323944	0.0241174055829228
mprestamos_personales	0.0189164601879882	0.0191864941477582	0.00482348111658457
mrentabilidad	0.0188065597425793	0.0156725828737046	0.0210385878489327
Visa_fechaalta	0.01654300975889	0.0144571970251316	0.0241174055829228
Visa_msaldopesos	0.0157025288427005	0.0186721721529925	0.0205254515599343
Master_fechaalta	0.0156387485709029	0.0220405115920443	0.0259646962233169
Visa_Fvencimiento	0.0155885864738485	0.011711166366123	0.0232963875205255
numero_de_cliente	0.0149510677137303	0.00993116446563912	0.020012315270936
Visa_mpagominimo	0.0146798000842058	0.0139771286892562	0.0208333333333333
cliente_antiguedad	0.0141432254908844	0.0142665718582669	0.0238095238095238
Visa_mpagospesos	0.0132147577337263	0.0112567746007961	0.021243842364532
chomebanking_trx	0.0129051273084238	0.0127315763508463	0.0166256157635468
Master_Fvencimiento	0.0128456991701745	0.0175319265705175	0.0214490968801314
ctarjeta_visa_trx	0.0128161281035658	0.0141438722588427	0.0157019704433498
mcomisiones	0.0121836869121645	0.0166994269177404	0.0201149425287356
mcomisiones_otras	0.0120664765487188	0.0125748667315632	0.020320197044335
mtransferencias_recibidas	0.0111419952107429	0.00970493319465002	0.0174466338259442
Visa_msaldototal	0.0106689117142717	0.0130656154070084	0.0183702791461412
mautoservicio	0.0106543648345735	0.0139057573698035	0.0162151067323481
Master_mfinanciacion_limite	0.0105842239633426	0.00997093729441869	0.0190886699507389
cproductos	0.0103444261551293	0.00969812124622796	0.0106732348111658
Visa_mfinanciacion_limite	0.00940375944463397	0.00949316612655126	0.014367816091954
Master_mlimitecompra	0.00907446363102915	0.0117896877453063	0.0154967159277504
Visa_mconsumospesos	0.00897893301919063	0.00952071225374701	0.0160098522167488
mcaja_ahorro_dolares	0.00877206441424	0.0153560559944348	0.0168308702791461
ccomisiones_mantenimiento	0.00838986933526851	0.0147741614602124	0.00646551724137931
mcomisiones_mantenimiento	0.00759984464064847	0.0110969523685843	0.00944170771756979
ccomisiones_otras	0.00743994170953387	0.0122318080590233	0.0141625615763547
Visa_mlimitecompra	0.00704487914209814	0.0103219167215837	0.0115968801313629
Visa_cconsumos	0.00697908760215484	0.00961324039110906	0.0130336617405583
cprestamos_personales	0.00624961647420771	0.00516502812705712	0.00318144499178982
ctransferencias_emitidas	0.00593897688154366	0.0135429838246406	0.00872331691297209
