modelo	gan
A	8753333.33333333
A	10326666.6666667
A	7206666.66666667
A	10300000
A	8600000
A	7473333.33333333
A	7876666.66666667
A	9603333.33333333
A	6920000
A	10033333.3333333
A	7443333.33333333
A	7946666.66666667
A	9763333.33333333
A	8886666.66666667
A	10096666.6666667
A	9993333.33333333
A	9553333.33333333
A	10283333.3333333
A	11270000
A	10133333.3333333
A	11070000
A	9076666.66666667
A	9823333.33333333
A	8723333.33333333
A	9693333.33333333
A	10486666.6666667
A	9336666.66666667
A	8386666.66666667
A	7793333.33333333
A	8320000
A	10146666.6666667
A	7196666.66666667
A	9083333.33333333
A	9940000
A	11030000
A	10750000
A	10450000
A	8556666.66666667
A	10266666.6666667
A	10850000
A	9936666.66666667
A	9056666.66666667
A	8290000
A	9583333.33333333
A	9023333.33333333
A	10770000
A	10523333.3333333
A	9756666.66666667
A	9056666.66666667
A	9206666.66666667
A	9046666.66666667
A	11063333.3333333
A	9253333.33333333
A	8150000
A	10300000
A	10840000
A	12523333.3333333
A	9253333.33333333
A	8553333.33333333
A	12636666.6666667
A	8980000
A	12273333.3333333
A	8900000
A	9666666.66666667
A	9960000
A	11213333.3333333
A	9483333.33333333
A	11903333.3333333
A	9473333.33333333
A	10443333.3333333
A	10866666.6666667
A	11323333.3333333
A	11650000
A	9763333.33333333
A	13213333.3333333
A	10250000
A	8330000
A	11506666.6666667
A	10126666.6666667
A	10306666.6666667
A	12150000
A	6316666.66666667
A	10760000
A	8193333.33333333
A	9056666.66666667
A	8716666.66666667
A	12160000
A	9760000
A	11840000
A	12893333.3333333
A	9670000
A	7673333.33333333
A	9820000
A	7720000
A	9086666.66666667
A	8680000
A	10566666.6666667
A	10593333.3333333
A	9743333.33333333
A	7833333.33333333
A	9796666.66666667
A	8133333.33333333
A	10846666.6666667
A	8206666.66666667
A	9983333.33333333
A	5610000
A	10880000
A	6753333.33333333
A	9463333.33333333
A	9483333.33333333
A	11086666.6666667
A	11210000
A	10030000
A	10583333.3333333
A	10146666.6666667
A	7440000
A	11216666.6666667
A	10356666.6666667
A	11050000
A	11273333.3333333
A	9573333.33333333
A	9560000
A	10266666.6666667
A	7696666.66666667
A	11686666.6666667
A	10520000
A	12116666.6666667
A	10786666.6666667
A	12953333.3333333
A	9493333.33333333
A	11146666.6666667
A	8850000
A	7606666.66666667
A	9810000
A	10473333.3333333
A	7060000
A	12126666.6666667
A	10810000
A	11346666.6666667
A	11060000
A	10610000
A	9213333.33333333
A	9040000
A	9566666.66666667
A	11550000
A	7970000
A	7613333.33333333
A	10066666.6666667
A	9566666.66666667
A	9323333.33333333
A	9210000
A	10366666.6666667
A	12006666.6666667
A	9546666.66666667
A	10463333.3333333
A	10016666.6666667
A	9253333.33333333
A	10093333.3333333
A	12463333.3333333
A	1.3e+07
A	9550000
A	9613333.33333333
A	10250000
A	11756666.6666667
A	9990000
A	8580000
A	11823333.3333333
A	9270000
A	9926666.66666667
A	7613333.33333333
A	11670000
A	8943333.33333333
A	11323333.3333333
A	8226666.66666667
A	10043333.3333333
A	8543333.33333333
A	11530000
A	12006666.6666667
A	10633333.3333333
A	9706666.66666667
A	9766666.66666667
A	8730000
A	11176666.6666667
A	12653333.3333333
A	11343333.3333333
A	9630000
A	11020000
A	8666666.66666667
A	9926666.66666667
A	9950000
A	8963333.33333333
A	10386666.6666667
A	8386666.66666667
A	8136666.66666667
A	8516666.66666667
A	9360000
A	10776666.6666667
A	9393333.33333333
A	6376666.66666667
A	9063333.33333333
A	8133333.33333333
A	10273333.3333333
A	10416666.6666667
A	9383333.33333333
A	9230000
A	7920000
A	9580000
A	9050000
A	7276666.66666667
A	10940000
A	10456666.6666667
A	5263333.33333333
A	7933333.33333333
A	8693333.33333333
A	8846666.66666667
A	9253333.33333333
A	9306666.66666667
A	5560000
A	9063333.33333333
A	10406666.6666667
A	9176666.66666667
A	8873333.33333333
A	7756666.66666667
A	8193333.33333333
A	8996666.66666667
A	11363333.3333333
A	9450000
A	10090000
A	10303333.3333333
A	10210000
A	7683333.33333333
A	9963333.33333333
