Feature	Gain	Cover	Frequency
ctrx_quarter	0.167738086110306	0.0299179862536799	0.024995642321771
mpasivos_margen	0.0806729588580663	0.0230435933013652	0.0291790134216489
cpayroll_trx	0.0750821789285431	0.0233134129385987	0.00763465225727732
mpayroll	0.0503840821145477	0.0433400308514628	0.0172215443611644
mcaja_ahorro	0.0488002450412145	0.0172687242661487	0.0258671779675789
mtarjeta_visa_consumo	0.0433668550731191	0.0184918988251977	0.0187903085236186
mcuentas_saldo	0.0368519359558049	0.0286746123584597	0.0350008715356458
mactivos_margen	0.0300241414360577	0.0277358072787556	0.0268084364650514
ctarjeta_visa_trx	0.0299672618302198	0.0149996182268235	0.0187903085236186
mprestamos_personales	0.0280734255623946	0.0258162184299482	0.0102841206205334
Visa_msaldototal	0.0257857834987175	0.0107910686204132	0.0152693045145546
mrentabilidad_annual	0.0229780413687022	0.0179010645098682	0.0285166463308349
cliente_edad	0.0172331396927635	0.0263180554852997	0.0345128115739934
Master_fechaalta	0.0145359978057945	0.0316174115446206	0.0348962872581489
mcuenta_corriente	0.013690782196202	0.0128261517396552	0.0197664284469235
Visa_msaldopesos	0.0127324764168255	0.0201874213495968	0.0195921213177619
Visa_fechaalta	0.0126627161098613	0.0128289335649618	0.0245424437859508
Master_Fvencimiento	0.0118820990234753	0.0185270884176836	0.0237754924176399
chomebanking_trx	0.0116835268989493	0.0141449447010266	0.0209865783510546
mrentabilidad	0.0116639622283533	0.0122984658540729	0.0198361512985881
mcomisiones_otras	0.00924731598554051	0.0109823738509934	0.0159316716053687
cliente_antiguedad	0.0090947274106824	0.0110468895553434	0.0173609900644936
numero_de_cliente	0.00881531121128553	0.00972544291178104	0.0185811399686247
Visa_mpagominimo	0.00868124146181045	0.0143817469582006	0.0175352971936552
Visa_Fvencimiento	0.00861783113121392	0.00994761943626059	0.0183371099877985
Visa_mpagospesos	0.00804450079340153	0.00997124628974827	0.016628900122015
Master_mfinanciacion_limite	0.00796204425826383	0.00871187689901488	0.0163500087153565
mcomisiones	0.00786360659052857	0.00945288126069427	0.0145023531462437
cproductos	0.00766764799862414	0.0093767841557273	0.0099006449363779
ccomisiones_otras	0.00730325759152805	0.0194024041820708	0.0183371099877985
mcaja_ahorro_dolares	0.00718266713709688	0.0222087321941766	0.0239497995468015
thomebanking	0.00714480430055732	0.00528522050514636	0.00596130381732613
Visa_mconsumospesos	0.00656131786876664	0.00961547621283014	0.0162802858636918
Visa_mfinanciacion_limite	0.00629885292880797	0.0120601482734536	0.0140491546104236
cprestamos_personales	0.00618289736639443	0.00570705520077351	0.00292835976991459
mcomisiones_mantenimiento	0.00607624956811502	0.0070261131571316	0.00913369356806693
mtransferencias_recibidas	0.00588947370451546	0.00686603752353148	0.013107896112951
mautoservicio	0.00564326237421498	0.0180763705126114	0.0202544884085759
mtransferencias_emitidas	0.00562621986367544	0.0131481306013883	0.0151298588112254
ctransferencias_recibidas	0.00508980188973931	0.0160975546622172	0.0107721805821858
Master_status	0.00508888879776157	0.0184195688790092	0.00397420254488409
ccomisiones_mantenimiento	0.00456915683818935	0.00517729041085869	0.00460170820986578
tcallcenter	0.0044994839777472	0.00490713984091873	0.00275405264075301
Visa_mlimitecompra	0.0043581792231933	0.00966691012241299	0.00986578351054558
mtarjeta_visa_debitos_automaticos	0.00421563197968311	0.00836107081269313	0.0101098134913718
ccaja_ahorro	0.00419679388671133	0.0270327643820054	0.00861077218058219
Visa_cconsumos	0.0041569092332364	0.0052921315246358	0.0106327348788565
Master_mlimitecompra	0.00409528091028802	0.00646569230398736	0.00899424786473767
Master_mpagominimo	0.00399810797036356	0.00765043014888223	0.00676311661146941
Visa_mpagado	0.00373551947158967	0.0141917293793165	0.00962175352971937
Master_mpagospesos	0.00351483230833865	0.0179506011548748	0.0122712218929754
ccallcenter_trx	0.00348840600270447	0.00814450645903571	0.00345128115739934
mpagomiscuentas	0.0034224012410321	0.00938716499220254	0.0104235663238626
ctransferencias_emitidas	0.00328629460263438	0.0113487462155963	0.00690256231479868
mdescubierto_preacordado	0.00310246569181663	0.00815948178605541	0.00275405264075301
ctarjeta_debito_trx	0.00308346896855664	0.0082093841987901	0.0140491546104236
Visa_mconsumototal	0.00293874271278547	0.00373881177947404	0.00683283946313404
mcuenta_debitos_automaticos	0.00276924073713494	0.0075867355557587	0.00847132647725292
mplazo_fijo_dolares	0.00274620676734285	0.0201622219436996	0.00383475684155482
ccuenta_debitos_automaticos	0.00257067507465054	0.00975406485856307	0.00634477950148161
ctarjeta_visa_debitos_automaticos	0.00246956857319105	0.00782120635469275	0.00571727383649991
Master_msaldopesos	0.00215374993742949	0.00446168451234349	0.0042182325257103
ccajas_consultas	0.00210839834230562	0.0130842120688394	0.00257974551159142
Master_msaldototal	0.00192588120728102	0.00309040885841365	0.0037998954157225
ctarjeta_debito	0.00177064806389348	0.0036489336910895	0.00470629248736273
Visa_mconsumosdolares	0.00163972459659913	0.00277958591238927	0.00491546104235663
Visa_status	0.00162418673088835	0.00844398438494771	0.00163848701411888
ccaja_seguridad	0.00152726839326591	0.00960144889604463	0.00257974551159142
Visa_mpagosdolares	0.00136643503104091	0.00706509727877009	0.00512462959735053
cpagomiscuentas	0.00134872917588212	0.00317805874951546	0.00348614258323165
cmobile_app_trx	0.00134431856164645	0.00176336124100044	0.00317238975074081
cextraccion_autoservicio	0.00133742419433949	0.00274308876248064	0.00495032246818895
mextraccion_autoservicio	0.00133446027467719	0.00455804440298546	0.00840160362558829
Master_mconsumospesos	0.0013145270431664	0.00301423337464779	0.00414850967404567
cseguro_accidentes_personales	0.00123458415400488	0.00646511503791299	0.00289349834408227
ctarjeta_master	0.00114948625455333	0.000558686566705308	0.000836674219975597
Visa_fultimo_cierre	0.00091245346349157	0.00142544784504217	0.00230085410493289
Master_fultimo_cierre	0.000896610026694218	0.00194994757024423	0.00303294404741154
ccajas_trx	0.000839697905800911	0.00263744409443998	0.0010458427749695
Master_cconsumos	0.000836005523474337	0.0023570458075721	0.0040090639707164
Visa_Finiciomora	0.000729168953099552	0.00804774969796761	0.00156876416245424
Master_mconsumototal	0.000698667523942797	0.00163410838109087	0.00174307129161583
active_quarter	0.000638875306291422	0.000326815953321748	0.000732089942478647
ccajas_extracciones	0.000554451449156911	0.000508721948574672	0.000522921387484748
matm	0.000374770200867199	0.00102517478375734	0.00181279414328046
mtarjeta_visa_descuentos	0.000362846500802014	0.00558122114942506	0.00331183545407007
Visa_msaldodolares	0.00035066639199037	0.00143026876322788	0.00132473418162803
mtarjeta_master_consumo	0.000304631035764558	0.000980607105778861	0.00111556562663413
Master_mpagado	0.000279197408753045	0.00471866371174614	0.00108070420080181
catm_trx	0.000260309651412711	0.00170705416069929	0.00122014990413108
cplazo_fijo	0.00022921303616855	0.00185496366296056	0.000453198535820115
ctarjeta_master_trx	0.000195644689030194	0.000388180332313193	0.000627505664981698
tcuentas	0.000160458187312917	0.00231973003465285	0.000522921387484748
catm_trx_other	0.000158789807387311	0.000589510584503784	0.000278891406658532
mttarjeta_master_debitos_automaticos	0.000124142447782498	0.000364689086588668	0.000418337109987799
matm_other	0.000124043038315574	0.00116721085253352	0.000627505664981698
Master_mconsumosdolares	0.000123129618473291	0.000373946493613146	0.000836674219975597
Visa_delinquency	0.000117813947413877	0.000715073420325912	0.000313752832490849
Master_mpagosdolares	0.000106672343996896	0.000879999830701794	0.00226599267910058
ctarjeta_master_debitos_automaticos	4.68476269055548e-05	0.00045742862318666	0.000174307129161583
ctarjeta_visa	3.91641050590661e-05	0.000450011251774224	0.000348614258323165
ctarjeta_visa_descuentos	3.79576581756216e-05	0.00102098462828651	0.000697228516646331
cseguro_vivienda	3.44458443160081e-05	4.6778457750352e-05	6.97228516646331e-05
internet	3.42006169487503e-05	9.88568152351853e-06	3.48614258323165e-05
tpaquete1	3.15474417919434e-05	0.000594887618929237	0.00010458427749695
Master_msaldodolares	2.67445705580383e-05	8.97822920747846e-05	6.97228516646331e-05
mforex_sell	2.26496337749233e-05	0.000325899045785524	0.000278891406658532
minversion2	2.04216316537769e-05	0.000383257397278137	6.97228516646331e-05
Master_madelantopesos	1.7041279425286e-05	0.000242591091320655	0.000592644239149381
Master_delinquency	9.53993191988373e-06	8.29197927941745e-06	3.48614258323165e-05
Visa_madelantodolares	5.17511009545177e-06	1.80768880615057e-05	6.97228516646331e-05
cseguro_vida	3.42002866685325e-06	7.07486850236507e-05	6.97228516646331e-05
cforex	2.07766688510568e-06	0.0001165194153597	0.000174307129161583
Visa_madelantopesos	1.51933076161978e-06	2.7549525755952e-05	3.48614258323165e-05
ccajeros_propios_descuentos	1.84550680211972e-07	6.51215849065006e-05	6.97228516646331e-05
Master_cadelantosefectivo	2.73441437288186e-13	5.81284542944068e-05	0.000174307129161583
Master_madelantodolares	7.97450663525841e-14	1.42724060455329e-05	3.48614258323165e-05
