fecha	verbose	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	ganancia	iteracion
20220419 100838	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	718	TRUE	0.0196464538550065	0.455923603345136	7809	34	0.019627381080288	9.66226053099668	95.0775558661833	12890000	30
20220419 101005	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	152	TRUE	0.0338021299104958	0.341159350842214	96	33	0.0341220533003646	8.04923778615779	28.6477711172804	10634000	31
20220419 101105	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	245	TRUE	0.0633054579676661	0.349205247523458	6158	16	0.0195010175856507	22.8883788563123	93.5742516919265	12305000	32
20220419 101203	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	169	TRUE	0.0812113643171946	0.510452654431265	7658	27	0.0113958558051309	2.42369620668133	34.8172062652065	12336000	33
20220419 101230	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	65	TRUE	0.164142879971463	0.385937660695108	6844	48	0.0137810843958188	3.77000753660531	96.4611188480482	12609000	34
20220419 102038	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	1605	TRUE	0.0102024701512008	0.624180937101762	2882	40	0.0128972028403142	2.28901304530103	95.6674990004194	13301000	35
20220419 102456	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	718	TRUE	0.0153826124320062	0.608238190903461	2602	52	0.0183450174144588	0.106639837684183	99.0433812014812	12926000	36
20220419 102532	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	56	TRUE	0.095712833328223	0.498676059846695	878	18	0.0134568665740012	0.0399574153060025	81.4226446838309	13066000	37
20220419 102808	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	676	TRUE	0.0166373907701891	0.891660446281917	6546	10	0.0179006597067012	0.0678524726256379	90.7945059807454	13033000	38
20220419 102824	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	35	TRUE	0.267087061488631	0.641025104957661	36	53	0.028126433732686	48.4357611522499	98.6891007626107	11128000	39
20220419 103013	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	336	TRUE	0.0256311105766228	0.783099104531683	6128	17	0.0222824052986137	0.16882521387369	82.1669579976539	12305000	40
20220419 103642	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	1271	TRUE	0.0101763273221975	0.526990275039562	3918	12	0.015659487446959	4.12869680877916	70.1003194939491	13029000	41
20220419 103714	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	62	TRUE	0.0514584606980235	0.982227611257697	2725	11	0.0104313748362292	9.53993841366102	99.9661196710655	12374000	42
20220419 103851	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	313	TRUE	0.0344979480342553	0.693594012314081	5899	35	0.0148833575536491	0.0318491649086007	84.1185332443239	13146000	43
20220419 104015	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	187	TRUE	0.0484352667062564	0.612219601548517	2785	23	0.0177995041656064	0.145554531233657	98.9748960351048	13073000	44
20220419 104310	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	236	TRUE	0.0228027539735344	0.415292672413821	4	50	0.0134225399898675	11.6748090969528	99.7303956121036	12794000	45
20220419 104814	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	850	TRUE	0.0167270749054532	0.276019218339958	3123	50	0.0134697257019644	0.111791280825007	38.999969026243	13156000	46
20220419 105116	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	365	TRUE	0.017226774332338	0.877099568752599	1076	34	0.0181451118611694	0.0712535755461311	22.4180513415325	13051000	47
20220419 105552	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	583	TRUE	0.0108334480951692	0.223513553162749	300	29	0.0180776732534274	0.0163947615069201	48.7080457402285	12868000	48
20220419 105733	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	193	TRUE	0.0655019883376459	0.931327274756021	1371	50	0.0126644782691897	0.0991263256240025	71.8414741588639	13272000	49
20220419 110228	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	443	TRUE	0.0115022476664542	0.712742347530856	1490	42	0.0136315455571478	0.0499327341792598	55.5503342311156	13408000	50
20220419 110317	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	84	TRUE	0.0528711402898496	0.940756065611217	36	10	0.0173388332994566	0.061526260187152	13.9599352813039	12703000	51
20220419 111248	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	680	TRUE	0.0104577864152271	0.631571483260407	125	60	0.0120148492457635	0.312705188470834	2.06705739558887	13367000	52
20220419 111512	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	40	TRUE	0.0277576873548468	0.558652042499049	648	60	0.00847549304010168	0.0624904043553189	35.5327091793089	12771000	53
20220419 111913	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	164	TRUE	0.0137622255280587	0.531134840740077	225	33	0.0120267465741874	0.0279685584487786	25.4592692964639	13270000	54
20220419 112549	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	476	TRUE	0.0105602670303764	0.729500223171816	2241	50	0.011701823945216	0.0758615998063606	9.10058176903989	13225000	55
20220419 112643	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	51	TRUE	0.262193636419655	0.660235253180139	354	60	0.0120394185218819	0.226950151332781	29.2114595500965	12707000	56
20220419 113019	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	225	TRUE	0.0425509774944802	0.5327836198266	1242	60	0.0127135584652521	0.237182613420873	30.8002598474707	13139000	57
20220419 113143	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	59	TRUE	0.0622967125759955	0.490677004741633	11	44	0.0144375756644344	0.0997249058034111	0.562266637278712	12639000	58
20220419 113836	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	758	TRUE	0.0109240401669458	0.965358482731648	9	34	0.0123684158704027	0.0337670075531217	90.0719028821867	12928000	59
20220419 114043	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	167	TRUE	0.0616939639759643	0.310983430117743	212	46	0.0111500973173831	0.152204602897934	71.9229167928746	12905000	60
20220419 114742	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	597	TRUE	0.0126035872483921	0.798751446423829	17	47	0.0118106909777331	8.6504159033824	40.8842979231261	12895000	61
20220419 114827	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	93	TRUE	0.0986112692793337	0.203316029367095	2908	6	0.0120596871104612	0.100948813618999	19.5676853924166	12542000	62
