v_cp	max_depth	min_split	minbucket	ganancia_promedio
-2	8	100	20	8841333
-2	8	100	33	8792667
-2	8	100	50	8690667
-2	8	50	1	9300667
-2	8	50	2	9986667
-2	8	50	3	10150667
-2	8	50	4	10312000
-2	8	50	5	10076667
-2	8	50	10	9756667
-2	8	50	16	9666667
-2	8	50	25	8861333
-2	8	20	1	9240000
-2	8	20	2	9912000
-2	8	20	3	10023333
-2	8	20	4	10186000
-2	8	20	5	9954000
-2	8	20	6	9926000
-2	8	20	10	9664667
-2	8	10	1	9246000
-2	8	10	2	9957333
-2	8	10	3	10084667
-2	8	10	4	10216667
-2	8	10	5	9958000
-2	8	5	1	9216000
-2	8	5	2	9980667
-2	8	5	3	10068000
-2	8	5	4	10230000
-2	8	5	5	9958000
-2	8	5	0	9216000
-2	10	1000	1	10120000
-2	10	1000	2	10162667
-2	10	1000	3	10074667
-2	10	1000	4	10287333
-2	10	1000	5	10058000
-2	10	1000	100	10049333
-2	10	1000	200	10305333
-2	10	1000	333	10938000
-2	10	1000	500	10863333
-2	10	800	1	9981333
-2	10	800	2	10094667
-2	10	800	3	10028667
-2	10	800	4	10271333
-2	10	800	5	9934000
-2	10	800	80	9396000
-2	10	800	160	10151333
-2	10	800	266	10120667
-2	10	800	400	10886000
-2	10	600	1	9670000
-2	10	600	2	9792000
-2	10	600	3	9910667
-2	10	600	4	10025333
-2	10	600	5	9680000
-2	10	600	60	8986000
-2	10	600	120	9946667
-2	10	600	200	9806667
-2	10	600	300	10167333
-2	10	400	1	9657333
-2	10	400	2	9628667
-2	10	400	3	9695333
-2	10	400	4	9826000
-2	10	400	5	9590000
-2	10	400	40	7519333
-2	10	400	80	8397333
-2	10	400	133	8629333
-2	10	400	200	9478000
-2	10	200	1	9750667
-2	10	200	2	9704667
-2	10	200	3	9698667
-2	10	200	4	9822000
-2	10	200	5	9641333
-2	10	200	20	7626667
-2	10	200	40	7147333
-2	10	200	66	8117333
-2	10	200	100	7430000
-2	10	100	1	9782667
-2	10	100	2	9729333
-2	10	100	3	9720667
-2	10	100	4	9856667
-2	10	100	5	9568000
-2	10	100	10	9168667
-2	10	100	20	7927333
-2	10	100	33	7494000
-2	10	100	50	7647333
-2	10	50	1	9841333
-2	10	50	2	9710667
-2	10	50	3	9768667
-2	10	50	4	9832667
-2	10	50	5	9625333
-2	10	50	10	9395333
-2	10	50	16	8972000
-2	10	50	25	8444667
-2	10	20	1	9713333
-2	10	20	2	9643333
-2	10	20	3	9702667
-2	10	20	4	9756000
-2	10	20	5	9406000
-2	10	20	6	9780000
-2	10	20	10	9432667
-2	10	10	1	9734000
-2	10	10	2	9725333
-2	10	10	3	9750000
-2	10	10	4	9824000
-2	10	10	5	9418667
-2	10	5	1	9674667
-2	10	5	2	9686667
-2	10	5	3	9714000
-2	10	5	4	9767333
-2	10	5	5	9418667
-2	10	5	0	9674667
-2	15	1000	1	10052000
-2	15	1000	2	8952000
-2	15	1000	3	9363333
-2	15	1000	4	9561333
-2	15	1000	5	9635333
-2	15	1000	100	9898667
-2	15	1000	200	10250667
-2	15	1000	333	10938000
-2	15	1000	500	10863333
-2	15	800	1	9784667
-2	15	800	2	8860667
-2	15	800	3	9170000
-2	15	800	4	9663333
-2	15	800	5	9578667
-2	15	800	80	9126000
