fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220425 135121	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1003	TRUE	0.0100129345505603	0.202655087112905	5961	676	0.0159867735435893	13307000	35
20220425 135302	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	517	TRUE	0.0101183394801504	0.603821428716604	2687	531	0.0162413790366517	13946000	36
20220425 135426	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	495	TRUE	0.0100311394009431	0.796141542811298	2445	475	0.0167537190308913	13606000	37
20220425 135720	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	926	TRUE	0.0100162591985965	0.385966888192767	3433	630	0.016548238503018	13646000	38
20220425 135811	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	57	TRUE	0.0101072542553463	0.26779840200468	6450	81	0.00842619410646331	11250000	39
20220425 135946	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	984	TRUE	0.0103096670827212	0.69020148231734	6120	599	0.0144679653200922	13333000	40
20220425 140001	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	17	TRUE	0.299983190780325	0.565620393162733	7974	596	0.0167518876444081	12675000	41
20220425 140225	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	710	TRUE	0.0101597821295341	0.533313985563167	3571	545	0.0138040624370385	13424000	42
20220425 140359	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	396	TRUE	0.0102964438597092	0.518989298494749	5714	575	0.0205093673863491	13127000	43
20220425 140518	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	395	TRUE	0.0110094452427755	0.640423726472808	2582	689	0.0160157778115907	13807000	44
20220425 140724	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	749	TRUE	0.0102874951249265	0.327531357490055	2687	74	0.0209617520824577	13363000	45
